NPI,Name,City,State,Zip,MAC
1821228677,JEFF WONGSKHALUANG,OLATHE,KS,66061,WPS
1003893454,NIKHIL WAGLE,ROCK ISLAND,IL,61201,NGS
1518096692,RICHARD LEVINE,CLIFFSIDE PARK,NJ,07010,Novitas
1780614560,TIMOTHY MCGARITY,COLUMBIA,MO,65203,WPS
1639113665,SYDNEY TYSON,VINELAND,NJ,08361,Novitas
1871881656,DEBORAH RISTVEDT,ALEXANDRIA,MN,56308,NGS
1730442500,MICHAEL STOCK,SAINT LOUIS,MO,63110,WPS
1366700460,ADAM JORGENSEN,RAPID CITY,SD,57701,Noridian
1285049940,CORY BERGMAN,RAPID CITY,SD,57701,Noridian
1851556476,JOSHUA NEY,WEST YARMOUTH,MA,02673,NGS
1780115493,BEAU FROEBEL,WARREN,PA,16365,Novitas
1104141159,ANITA CAMPBELL,WICHITA,KS,67212,WPS
1265598874,ANN STECHSCHULTE,OVERLAND PARK,KS,66213,WPS
1063466324,DURGA LARKIN,PROVIDENCE,RI,02906,NGS
1396125589,STEPHAN DIXON,CRESTVIEW HILLS,KY,41017,CGS
1053759019,DEREK HORKEY,WOODBURY,MN,55125,NGS
1770111775,AUSTIN BOHNER,SALT LAKE CITY,UT,84132,Noridian
1275508160,CRAIG CHAYA,SALT LAKE CITY,UT,84141,Noridian
1114946555,AGNES HUANG,SEATTLE,WA,98104,Noridian
1427044072,KENNETH BOYLE,UPPER ARLINGTON,OH,43220,CGS
1861499071,DAVID ZUECH,ENID,OK,73701,Novitas
1578740668,JUSTIN TANNIR,TROY,MI,48083,WPS
1265828289,JONATHAN CARRERE,THIBODAUX,LA,70301,Novitas
1114489721,CHARLES BRODOWSKI,BRISTOL,PA,19007,Novitas
1821246141,ALEX HUANG,SAN DIEGO,CA,92103,Noridian
1750923108,SASAN MOGHIMI ARAGHI,LA JOLLA,CA,92093,Noridian
1316357825,SWARUP SWAMINATHAN,MIAMI,FL,33136,FCSO
1033420260,DAVID PERLMUTTER,ALBANY,NY,12208,NGS
1811992019,MICHAEL ENDL,AMHERST,NY,14228,NGS
1821085457,MARK HUFFMAN,LONDON,KY,40741,CGS
1245371129,CARL HYDER,MEDFORD,NJ,08055,Novitas
1952664260,BRADLEY ANDERSON,SALT LAKE CITY,UT,84106,Noridian
1548431315,SANJAY SMITH,SOUTH MIAMI,FL,33143,FCSO
1801086202,ERIC REISH,ALEXANDRIA,LA,71303,Novitas
1568780195,PATRICK REDMOND,ALEXANDRIA,LA,71303,Novitas
1417916586,ADAM REYNOLDS,BOISE,ID,83706,Noridian
1922083690,LES SIEGEL,SOUTHFIELD,MI,48034,WPS
1811217912,MICHAEL SIEGEL,SOUTHFIELD,MI,48034,WPS
1497287148,EMA AVDAGIC,CHICAGO,IL,60607,NGS
1073508164,FIAZ ZAMAN,HOUSTON,TX,77025,Novitas
1457353435,THOMAS HARVEY,EAU CLAIRE,WI,54701,NGS
1407846330,ERIC GRIESER,GAINESVILLE,FL,32608,FCSO
1205824448,LISA HERRYGERS,BOZEMAN,MT,59718,Noridian
1003899436,MICHAEL HODKIN,MUNCIE,IN,47304,WPS
1659563039,MICHELLE ATCHISON,FARGO,ND,58104,Noridian
1396743555,RANJAN MALHOTRA,SAINT LOUIS,MO,63131,WPS
1568451797,PETER CHANG,HOUSTON,TX,77030,Novitas
1346346491,ANALISA AROSEMENA,MIAMI BEACH,FL,33141,FCSO
1457354573,GREGORY PANZO,MOUNT DORA,FL,32757,FCSO
1649209115,MICHAEL KUTRYB,TITUSVILLE,FL,32780,FCSO
1164187019,MARC TOETEBERG-HARMS,IOWA CITY,IA,52242,WPS
1669478384,ANGELA OSTER,GOLDEN VALLEY,MN,55422,NGS
